TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
3325547,Magic,Amonkhet,Destined // Lead,,217,U,Near Mint,0.12,,1.38,0.07,1,0,0.1,
3328546,Magic,Amonkhet,Dispossess,,86,R,Near Mint,0.1,,1.32,0.01,2,0,0.1,
3325887,Magic,Amonkhet,Drake Haven,,51,R,Near Mint,0.28,0.3,1.47,0.16,0,0,0.22,
3327450,Magic,Amonkhet,Dread Wanderer,,88,R,Near Mint,0.24,,1.46,0.15,1,0,0.2,
3328566,Magic,Amonkhet,Electrify,,129,C,Near Mint,0.09,,1.32,0.01,2,0,0.1,
3328626,Magic,Amonkhet,Festering Mummy,,91,C,Near Mint,0.11,0.09,1.36,0.05,1,0,0.1,
3328706,Magic,Amonkhet,Gate to the Afterlife,,228,U,Near Mint,0.11,,1.36,0.05,1,0,0.1,
3328176,Magic,Amonkhet,Gideon's Intervention,,15,R,Near Mint,0.14,,1.38,0.07,2,0,0.11,
3324442,Magic,Amonkhet,Glorybringer,,134,R,Near Mint,0.32,0.3,1.5,0.19,1,0,0.26,
3328736,Magic,Amonkhet,Glyph Keeper,,55,R,Near Mint,0.1,0.1,1.33,0.02,1,0,0.1,
3328766,Magic,Amonkhet,Hapatra's Mark,,169,U,Near Mint,0.18,,1.36,0.05,1,0,0.12,
3329506,Magic,Amonkhet,Harvest Season,,170,R,Near Mint,1.95,,2.08,0.77,0,0,1.36,
3328806,Magic,Amonkhet,Honored Crop-Captain,,200,U,Near Mint,0.15,,1.4,0.09,1,0,0.12,
3325291,Magic,Amonkhet,Irrigated Farmland,,245,R,Near Mint,0.27,0.32,1.4,0.09,1,0,0.19,
3327480,Magic,Amonkhet,Lord of the Accursed,,99,U,Near Mint,0.29,0.3,1.49,0.18,1,0,0.24,
3327490,Magic,Amonkhet,"Neheb, the Worthy",,203,R,Near Mint,0.24,,1.46,0.15,1,0,0.2,
3327140,Magic,Amonkhet,New Perspectives,,63,R,Near Mint,0.12,,1.37,0.06,1,0,0.1,
3324462,Magic,Amonkhet,Oracle's Vault,,234,R,Near Mint,0.12,0.11,1.36,0.05,1,0,0.1,
3325991,Magic,Amonkhet,Prepare // Fight,,220,R,Near Mint,0.16,,1.36,0.05,1,0,0.11,
3325612,Magic,Amonkhet,Prowling Serpopard,,180,R,Near Mint,1.86,,2.38,0.88,0,0,1.37,
3325772,Magic,Amonkhet,Rhonas's Monument,,236,U,Near Mint,0.9,0.77,2.08,0.77,0,0,0.85,
3329166,Magic,Amonkhet,Sandwurm Convergence,,183,R,Near Mint,0.28,,1.56,0.25,0,0,0.27,
3325301,Magic,Amonkhet,Scattered Groves,,247,R,Near Mint,0.29,0.27,1.45,0.14,0,0,0.21,
3328221,Magic,Amonkhet,Shadow of the Grave,,107,R,Near Mint,0.53,0.62,1.61,0.3,1,0,0.42,
3327580,Magic,Amonkhet,Shefet Monitor,,186,U,Near Mint,0.17,0.15,1.45,0.14,1,0,0.16,
3325311,Magic,Amonkhet,Sheltered Thicket,,248,R,Near Mint,0.27,0.27,1.46,0.15,1,0,0.21,
3324232,Magic,Amonkhet,Spidery Grasp,,188,C,Near Mint,0.08,,1.32,0.01,1,0,0.1,
3329286,Magic,Amonkhet,Supernatural Stamina,,111,C,Near Mint,0.09,0.09,1.38,0.07,5,0,0.1,
3325632,Magic,Amonkhet,Trial of Knowledge,,73,U,Near Mint,0.11,0.05,1.32,0.01,2,0,0.1,
3329486,Magic,Amonkhet,Winds of Rebuke,,76,C,Near Mint,0.11,0.1,1.36,0.05,1,0,0.1,
21400,Magic,Apocalypse,Gerrard's Verdict,,102,U,Near Mint,0.57,,1.63,0.32,0,0,0.45,
370681,Magic,Apocalypse,Gerrard's Verdict,,102,U,Lightly Played,0.48,0.55,1.67,0.36,0,0,0.42,
370731,Magic,Apocalypse,Powerstone Minefield,,115,R,Lightly Played,0.43,0.42,1.56,0.25,0,0,0.34,
17288,Magic,Arabian Nights,Metamorphosis,,,C,Near Mint,7.4,,6.6,6.6,1,0,6.6,
3373068,Magic,Archenemy: Nicol Bolas,Aegis Angel,,1,R,Near Mint,0.42,,1.6,0.29,0,0,0.36,
3373198,Magic,Archenemy: Nicol Bolas,Chandra's Phoenix,,44,R,Near Mint,0.36,,1.47,0.16,1,0,0.26,
3372963,Magic,Archenemy: Nicol Bolas,Cruel Ultimatum,,82,R,Near Mint,0.52,,1.8,0.49,1,0,0.51,
3372993,Magic,Archenemy: Nicol Bolas,Doom Blade,,33,U,Near Mint,0.33,,1.56,0.25,1,0,0.29,
3373248,Magic,Archenemy: Nicol Bolas,Dualcaster Mage,,46,R,Near Mint,1.66,,3.02,1.71,2,0,1.71,
3372968,Magic,Archenemy: Nicol Bolas,Extract from Darkness,,84,U,Near Mint,0.23,,1.51,0.2,1,0,0.22,
3373083,Magic,Archenemy: Nicol Bolas,Fiendslayer Paladin,,8,R,Near Mint,0.77,,1.97,0.66,0,0,0.72,
3373178,Magic,Archenemy: Nicol Bolas,Grasp of the Hieromancer,,13,C,Near Mint,0.15,,1.38,0.07,1,0,0.11,
3372948,Magic,Archenemy: Nicol Bolas,Harvester of Souls,,34,R,Near Mint,0.75,,2,0.69,0,0,0.72,
3372933,Magic,Archenemy: Nicol Bolas,Icefall Regent,,24,R,Near Mint,0.85,,1.98,0.67,1,0,0.76,
3373188,Magic,Archenemy: Nicol Bolas,Inferno Titan,,53,M,Near Mint,0.27,,1.51,0.2,1,0,0.24,
3373058,Magic,Archenemy: Nicol Bolas,Lightwielder Paladin,,14,R,Near Mint,0.18,,1.4,0.09,1,0,0.14,
3373088,Magic,Archenemy: Nicol Bolas,Mentor of the Meek,,15,R,Near Mint,0.3,0.29,1.51,0.2,1,0,0.25,
3373003,Magic,Archenemy: Nicol Bolas,Obelisk of Grixis,,88,C,Near Mint,0.3,,1.53,0.22,2,0,0.26,
3372953,Magic,Archenemy: Nicol Bolas,Overseer of the Damned,,36,R,Near Mint,0.68,,1.61,0.3,1,0,0.49,
3372928,Magic,Archenemy: Nicol Bolas,Prognostic Sphinx,,26,R,Near Mint,0.21,,1.39,0.08,1,0,0.15,
3373203,Magic,Archenemy: Nicol Bolas,Skarrgan Firebird,,57,U,Near Mint,0.15,0.19,1.41,0.1,1,0,0.13,
3372973,Magic,Archenemy: Nicol Bolas,Slave of Bolas,,86,U,Near Mint,0.36,,1.56,0.25,2,0,0.31,
3372908,Magic,Archenemy: Nicol Bolas,Sphinx of Jwar Isle,,28,R,Near Mint,0.16,0.19,1.41,0.1,1,0,0.13,
3372978,Magic,Archenemy: Nicol Bolas,Sudden Demise,,59,R,Near Mint,0.27,,1.51,0.2,3,0,0.24,
3373118,Magic,Archenemy: Nicol Bolas,Sun Titan,,21,M,Near Mint,0.45,0.91,1.56,0.25,0,0,0.35,
3373363,Magic,Archenemy: Nicol Bolas,Thragtusk,,75,R,Near Mint,0.21,0.23,1.46,0.15,1,0,0.18,
3373228,Magic,Archenemy: Nicol Bolas,Torchling,,60,R,Near Mint,0.22,,1.47,0.16,1,0,0.19,
852066,Magic,Avacyn Restored,Cloudshift,,12,C,Near Mint,0.65,0.63,1.81,0.5,0,0,0.58,
871066,Magic,Avacyn Restored,Marrow Bats,,113,U,Near Mint,0.12,,1.36,0.05,1,0,0.1,
855013,Magic,Avacyn Restored,Rite of Ruin,,153,R,Near Mint,0.13,0.12,1.36,0.05,1,0,0.1,
853062,Magic,Avacyn Restored,Vexing Devil,,164,R,Near Mint,1.5,1,1.79,0.48,3,0,0.99,
853188,Magic,Avacyn Restored,Vexing Devil,,164,R,Lightly Played,0.82,0.87,1.7,0.39,0,0,0.61,
2956326,Magic,Battle for Zendikar,Angel of Renewal,,18,U,Near Mint,0.15,,1.33,0.02,2,0,0.1,
2952007,Magic,Battle for Zendikar,Bring to Light,,209,R,Near Mint,0.27,,1.55,0.24,1,0,0.26,
2956486,Magic,Battle for Zendikar,Carrier Thrall,,106,U,Near Mint,0.07,,1.32,0.01,1,0,0.1,
2956586,Magic,Battle for Zendikar,Dispel,,76,C,Near Mint,0.28,0.2,1.52,0.21,0,0,0.25,
2949943,Magic,Battle for Zendikar,Dominator Drone,,92,C,Near Mint Foil,0.42,,1.5,0.19,1,0,0.31,
2955526,Magic,Battle for Zendikar,"Drana, Liberator of Malakir",,109,M,Near Mint,1.12,,2.16,0.85,1,0,0.99,
2956726,Magic,Battle for Zendikar,Fortified Rampart,,27,C,Near Mint,0.1,0.08,1.4,0.09,1,0,0.1,
2952057,Magic,Battle for Zendikar,Lantern Scout,,37,R,Near Mint,0.15,,1.39,0.08,1,0,0.12,
2954929,Magic,Battle for Zendikar,"Noyan Dar, Roil Shaper",,216,R,Near Mint,0.15,,1.32,0.01,1,0,0.1,
2954939,Magic,Battle for Zendikar,Prism Array,,81,R,Near Mint,0.09,0.09,1.35,0.04,1,0,0.1,
2955121,Magic,Battle for Zendikar,Retreat to Coralhelm,,82,U,Near Mint,0.44,0.35,1.61,0.3,0,0,0.37,
2949778,Magic,Battle for Zendikar,Ruinous Path,,123,R,Near Mint,0.12,,1.35,0.04,1,0,0.1,
2957396,Magic,Battle for Zendikar,Serene Steward,,46,U,Near Mint,0.09,,1.32,0.01,1,0,0.1,
2957406,Magic,Battle for Zendikar,Serpentine Spike,,133,R,Near Mint,0.09,0.08,1.34,0.03,1,0,0.1,
2957466,Magic,Battle for Zendikar,Smite the Monstrous,,49,C,Near Mint,0.09,,1.32,0.01,1,0,0.1,
2957616,Magic,Battle for Zendikar,Tide Drifter,,67,U,Near Mint,0.1,,1.36,0.05,1,0,0.1,
2955151,Magic,Battle for Zendikar,Ugin's Insight,,87,R,Near Mint,0.23,0.16,1.4,0.09,1,0,0.16,
2957806,Magic,Battle for Zendikar,Volcanic Upheaval,,161,C,Near Mint,0.08,,1.32,0.01,1,0,0.1,
2957786,Magic,Battle for Zendikar,Zulaport Cutthroat,,126,U,Near Mint,1.34,1.44,2.27,0.96,0,0,1.13,
8029649,Magic,Bloomburrow,"Alania, Divergent Storm (Showcase)",,327,R,Near Mint,0.41,0.04,1.35,0.04,0,0,0.23,
8029504,Magic,Bloomburrow,Dreamdew Entrancer (Extended Art),,365,R,Near Mint,0.33,0.32,1.34,0.03,1,0,0.18,
8046630,Magic,Bloomburrow,"Gev, Scaled Scorch",,214,R,Near Mint,0.34,0.21,1.52,0.21,1,0,0.28,
8031300,Magic,Bloomburrow,"Vren, the Relentless",,239,R,Near Mint,0.46,0.45,1.56,0.25,1,0,0.35,
1166196,Magic,Born of the Gods,Akroan Skyguard,,3,C,Near Mint,0.09,,1.32,0.01,1,0,0.1,
1165906,Magic,Born of the Gods,Courser of Kruphix,,119,R,Near Mint,1,,2.31,1,0,0,0.99,
1165946,Magic,Born of the Gods,Eidolon of Countless Battles,,7,R,Near Mint,0.58,,1.76,0.45,0,0,0.52,
1164451,Magic,Born of the Gods,Fate Unraveler,,68,R,Near Mint,1.18,,2.31,1,0,0,1.09,
1164121,Magic,Born of the Gods,Fated Intervention,,121,R,Near Mint,0.11,0.11,1.37,0.06,1,0,0.1,
1166236,Magic,Born of the Gods,Fated Retribution,,11,R,Near Mint,0.19,,1.41,0.1,2,0,0.15,
1165976,Magic,Born of the Gods,Fated Return,,69,R,Near Mint,0.23,,1.46,0.15,1,0,0.19,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
